"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN005010600","AHMADABAD, IN","1960-01-01","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-02","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-03","0.00","68","84","57"
"IN005010600","AHMADABAD, IN","1960-01-04","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-05","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-06","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-07","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-08","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-09","0.10",,,
"IN005010600","AHMADABAD, IN","1960-01-10","0.15",,,
"IN005010600","AHMADABAD, IN","1960-01-11","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-12","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-13","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-14","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-15","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-16","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-17","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-18","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-19","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-20","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-21","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-22","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-23","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-24","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-25","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-26","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-27","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-28","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-29","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-30","0.00",,,
"IN005010600","AHMADABAD, IN","1960-01-31","0.00",,,
"IN005010600","AHMADABAD, IN","1960-02-01","0.00",,,
"IN005010600","AHMADABAD, IN","1960-02-02","0.00",,,
"IN005010600","AHMADABAD, IN","1960-02-03","0.00",,,
"IN005010600","AHMADABAD, IN","1960-02-04","0.00","62","86","48"
"IN005010600","AHMADABAD, IN","1960-02-05","0.00",,,
"IN005010600","AHMADABAD, IN","1960-02-06","0.00",,,
"IN005010600","AHMADABAD, IN","1960-02-07","0.00",,,
"IN005010600","AHMADABAD, IN","1960-02-08","0.00",,,
"IN005010600","AHMADABAD, IN","1960-02-09","0.00","71","95","55"
